seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID
scaffold_0001	231270	231270	-	1	6	1	1	0	2	1	PDEC.223.1.P00010122
scaffold_0001	242192	242192	-	1	6	1	1	0	2	1	PDEC.223.1.P00010125
scaffold_0001	246768	246768	-	1	6	1	1	0	2	1	NA
scaffold_0001	247809	247809	-	1	16	1	1	0	2	1	NA
scaffold_0001	248434	248445	-	2	140	0.84	12	-3.69	1.36	0.36	PDEC.223.1.P00010129
scaffold_0001	259980	259980	-	1	18	1	1	0	2	1	PDEC.223.1.P00010134
scaffold_0001	289447	289447	-	1	17	1	1	0	2	1	NA
scaffold_0001	301023	301023	-	1	5	1	1	0	2	1	PDEC.223.1.P00010162
scaffold_0001	318989	319006	-	4	97	0.55	18	-4.93	0.38	0.19	PDEC.223.1.P00010172
scaffold_0001	326173	326173	-	1	15	1	1	0	2	1	PDEC.223.1.P00010178
scaffold_0001	347469	347469	-	1	6	1	1	0	2	1	PDEC.223.1.P00010187
scaffold_0001	355863	355863	-	1	7	1	1	0	2	1	PDEC.223.1.P00010190
scaffold_0001	387642	387649	-	2	12	0.58	8	0.58	1.02	0.02	PDEC.223.1.P00010201
scaffold_0001	396350	396350	-	1	5	1	1	0	2	1	NA
scaffold_0001	396893	396901	-	5	443	0.41	9	-2.09	0.24	0.24	PDEC.223.1.P00010205
scaffold_0001	434440	434451	-	3	181	0.55	12	-2.68	0.86	0.28	PDEC.223.1.P00010219
scaffold_0001	446258	446258	-	1	19	1	1	0	2	1	PDEC.223.1.P00010224
scaffold_0001	447522	447522	-	1	6	1	1	0	2	1	PDEC.223.1.P00010225
scaffold_0001	447998	448008	-	4	75	0.69	11	0.96	0.64	0.32	PDEC.223.1.P00010226
scaffold_0001	469896	469896	-	1	12	1	1	0	2	1	NA
scaffold_0001	470654	470654	-	1	5	1	1	0	2	1	PDEC.223.1.P00010233
scaffold_0001	472581	472581	-	1	6	1	1	0	2	1	NA
scaffold_0001	473074	473091	-	2	16	0.69	18	3.19	1.1	0.1	PDEC.223.1.P00010235
scaffold_0001	493245	493271	-	5	101	0.31	27	-2.1	-0.14	0.08	PDEC.223.1.P00010250
scaffold_0001	503181	503185	-	2	13	0.62	5	-0.46	1.04	0.04	PDEC.223.1.P00010256
scaffold_0001	506895	506895	-	1	11	1	1	0	2	1	NA
scaffold_0001	507026	507055	-	3	59	0.73	30	-8.86	0.9	0.3	NA
scaffold_0001	507118	507165	-	3	35	0.54	48	-5.1	0.55	0.09	NA
scaffold_0001	507279	507374	-	5	54	0.5	96	-11.24	0.03	0.15	NA
scaffold_0001	507450	507450	-	1	8	1	1	0	2	1	PDEC.223.1.P00010261
scaffold_0001	507555	507561	-	4	1156	0.58	7	1.14	0.88	0.44	PDEC.223.1.P00010261
scaffold_0001	614068	614068	-	1	6	1	1	0	2	1	NA
scaffold_0001	641750	641753	-	2	88	0.9	4	-1.19	1.52	0.52	PDEC.223.1.P00010332
scaffold_0001	650426	650426	-	1	10	1	1	0	2	1	PDEC.223.1.P00010339
scaffold_0001	652433	652433	-	1	5	1	1	0	2	1	PDEC.223.1.P00010341
scaffold_0001	681202	681202	-	1	10	1	1	0	2	1	NA
scaffold_0001	681471	681484	-	6	634	0.83	14	4.44	0.99	0.61	PDEC.223.1.P00010356
scaffold_0001	691773	691773	-	1	12	1	1	0	2	1	NA
scaffold_0001	691865	691866	-	2	23	0.7	2	0.2	1.11	0.11	NA
scaffold_0001	691945	691945	-	1	5	1	1	0	2	1	NA
scaffold_0001	693804	693838	-	2	35	0.51	35	0.49	1	0	NA
scaffold_0001	693892	693892	-	1	21	1	1	0	2	1	NA
scaffold_0001	693935	693935	-	1	28	1	1	0	2	1	NA
scaffold_0001	693993	694036	-	6	79	0.28	44	-0.03	-0.46	0.05	NA
scaffold_0001	694099	694104	-	2	22	0.64	6	0.68	1.05	0.05	NA
scaffold_0001	694200	694200	-	1	6	1	1	0	2	1	NA
scaffold_0001	694410	694674	-	56	4422	0.23	265	61.23	-2.19	0.28	PDEC.223.1.P00010367
scaffold_0002	64809	64809	+	1	12	1	1	0	2	1	PDEC.223.1.P00020039
scaffold_0002	75606	75606	+	1	5	1	1	0	2	1	NA
scaffold_0002	77375	77375	+	1	5	1	1	0	2	1	NA
scaffold_0002	77499	77499	+	1	7	1	1	0	2	1	NA
scaffold_0002	117475	117475	+	1	12	1	1	0	2	1	PDEC.223.1.P00020074
scaffold_0002	167627	167631	+	2	31	0.55	5	0.19	1.01	0.01	PDEC.223.1.P00020105
scaffold_0002	179041	179041	+	1	103	1	1	0	2	1	PDEC.223.1.P00020116
scaffold_0002	179235	179235	+	1	10	1	1	0	2	1	NA
scaffold_0002	182501	182507	+	3	37	0.68	7	-1.81	0.77	0.23	NA
scaffold_0002	205592	205617	+	3	50	0.52	26	1.1	0.65	0.15	PDEC.223.1.P00020129
scaffold_0002	225695	225707	+	2	124	0.94	13	-5.32	1.69	0.69	PDEC.223.1.P00020142
scaffold_0002	313025	313025	+	1	5	1	1	0	2	1	PDEC.223.1.P00020178
scaffold_0002	422629	422629	+	1	5	1	1	0	2	1	PDEC.223.1.P00020220
scaffold_0002	425406	425410	+	2	185	0.93	5	1.72	1.63	0.63	PDEC.223.1.P00020223
scaffold_0002	437031	437031	+	1	5	1	1	0	2	1	PDEC.223.1.P00020231
scaffold_0002	463032	463032	+	1	44	1	1	0	2	1	PDEC.223.1.P00020253
scaffold_0002	463589	463589	+	1	7	1	1	0	2	1	NA
scaffold_0002	463872	463872	+	1	24	1	1	0	2	1	NA
scaffold_0002	464174	464174	+	1	11	1	1	0	2	1	NA
scaffold_0002	464282	464282	+	1	6	1	1	0	2	1	NA
scaffold_0002	469089	469089	+	1	5	1	1	0	2	1	PDEC.223.1.P00020257
scaffold_0002	477097	477097	+	1	18	1	1	0	2	1	PDEC.223.1.P00020260
scaffold_0002	516564	516564	+	1	5	1	1	0	2	1	PDEC.223.1.P00020288
scaffold_0002	567119	567119	+	1	13	1	1	0	2	1	PDEC.223.1.P00020308
scaffold_0002	594131	594131	+	1	5	1	1	0	2	1	PDEC.223.1.P00020319
scaffold_0002	607519	607544	+	3	60	0.43	26	2.77	0.45	0.02	PDEC.223.1.P00020329
scaffold_0002	615131	615131	+	1	129	1	1	0	2	1	PDEC.223.1.P00020336
scaffold_0002	646419	646423	+	2	27	0.81	5	1.26	1.31	0.31	PDEC.223.1.P00020361
scaffold_0002	8054	8094	-	3	34	0.47	41	0.91	0.47	0.04	PDEC.223.1.P00020003
scaffold_0002	27636	27636	-	1	30	1	1	0	2	1	PDEC.223.1.P00020014
scaffold_0002	45308	45308	-	1	6	1	1	0	2	1	PDEC.223.1.P00020024
scaffold_0002	62831	62831	-	1	5	1	1	0	2	1	NA
scaffold_0002	83614	83614	-	1	9	1	1	0	2	1	NA
scaffold_0002	83743	83743	-	1	9	1	1	0	2	1	PDEC.223.1.P00020055
scaffold_0002	83804	83863	-	5	724	0.81	60	7.9	0.99	0.56	PDEC.223.1.P00020055
scaffold_0002	96100	96108	-	3	524	0.85	9	3.37	1.35	0.59	PDEC.223.1.P00020058
scaffold_0002	98612	98633	-	4	36	0.42	22	-4.25	0.12	0.06	PDEC.223.1.P00020061
scaffold_0002	112672	112672	-	1	5	1	1	0	2	1	NA
scaffold_0002	112713	112713	-	1	6	1	1	0	2	1	NA
scaffold_0002	114014	114014	-	1	7	1	1	0	2	1	NA
scaffold_0002	114373	114373	-	1	51	1	1	0	2	1	PDEC.223.1.P00020069
scaffold_0002	146502	146502	-	1	13	1	1	0	2	1	NA
scaffold_0002	147245	147245	-	1	11	1	1	0	2	1	PDEC.223.1.P00020089
scaffold_0002	147312	147327	-	3	86	0.78	16	-2.73	1.05	0.4	PDEC.223.1.P00020089
scaffold_0002	276350	276350	-	1	10	1	1	0	2	1	PDEC.223.1.P00020157
scaffold_0002	277387	277387	-	1	5	1	1	0	2	1	PDEC.223.1.P00020158
scaffold_0002	283703	283703	-	1	7	1	1	0	2	1	PDEC.223.1.P00020160
scaffold_0002	295020	295022	-	2	22	0.77	3	-0.55	1.23	0.23	NA
scaffold_0002	295277	295277	-	1	20	1	1	0	2	1	PDEC.223.1.P00020169
scaffold_0002	324949	324949	-	1	9	1	1	0	2	1	NA
scaffold_0002	335455	335456	-	2	65	0.89	2	0.39	1.51	0.51	PDEC.223.1.P00020190
scaffold_0002	411107	411107	-	1	9	1	1	0	2	1	PDEC.223.1.P00020217
scaffold_0002	424098	424098	-	1	10	1	1	0	2	1	NA
scaffold_0002	435032	435032	-	1	6	1	1	0	2	1	NA
scaffold_0002	435080	435080	-	1	10	1	1	0	2	1	NA
scaffold_0002	435179	435206	-	3	366	0.92	28	-11.99	1.53	0.71	NA
scaffold_0002	435295	435295	-	1	5	1	1	0	2	1	NA
scaffold_0002	446620	446628	-	2	79	0.72	9	-1.77	1.15	0.15	PDEC.223.1.P00020237
scaffold_0002	480312	480312	-	1	7	1	1	0	2	1	NA
scaffold_0002	511549	511591	-	5	56	0.39	43	3.45	-0.02	0.13	PDEC.223.1.P00020283
scaffold_0002	511641	511700	-	10	1268	0.66	60	14.81	0.22	0.46	PDEC.223.1.P00020283
scaffold_0002	540034	540034	-	1	25	1	1	0	2	1	PDEC.223.1.P00020295
scaffold_0002	563439	563439	-	1	5	1	1	0	2	1	PDEC.223.1.P00020304
scaffold_0002	566682	566696	-	2	26	0.65	15	-2.15	1.07	0.07	PDEC.223.1.P00020307
scaffold_0002	598945	598946	-	2	40	0.75	2	0.25	1.19	0.19	PDEC.223.1.P00020322
scaffold_0002	614819	614819	-	1	5	1	1	0	2	1	PDEC.223.1.P00020335
scaffold_0002	626915	626915	-	1	6	1	1	0	2	1	PDEC.223.1.P00020343
scaffold_0002	638011	638011	-	1	5	1	1	0	2	1	PDEC.223.1.P00020353
scaffold_0003	6545	6607	+	8	1618	0.76	63	-14.11	0.84	0.61	PDEC.223.1.P00030005
scaffold_0003	77617	77624	+	2	14	0.57	8	-0.5	1.01	0.01	PDEC.223.1.P00030055
scaffold_0003	85215	85215	+	1	11	1	1	0	2	1	NA
scaffold_0003	89584	89584	+	1	5	1	1	0	2	1	PDEC.223.1.P00030059
scaffold_0003	96656	96662	+	2	14	0.57	7	-0.43	1.01	0.01	PDEC.223.1.P00030063
scaffold_0003	110134	110137	+	2	37	0.65	4	0.45	1.06	0.06	PDEC.223.1.P00030077
scaffold_0003	136993	137012	+	3	43	0.6	20	6.17	0.69	0.17	PDEC.223.1.P00030093
scaffold_0003	137430	137430	+	1	6	1	1	0	2	1	NA
scaffold_0003	137508	137508	+	1	6	1	1	0	2	1	NA
scaffold_0003	150959	150964	+	2	49	0.53	6	-0.15	1	0	PDEC.223.1.P00030103
scaffold_0003	151117	151117	+	1	5	1	1	0	2	1	PDEC.223.1.P00030103
scaffold_0003	154685	154691	+	2	104	0.95	7	-2.71	1.72	0.72	PDEC.223.1.P00030106
scaffold_0003	164803	164803	+	1	9	1	1	0	2	1	PDEC.223.1.P00030113
scaffold_0003	193391	193391	+	1	11	1	1	0	2	1	PDEC.223.1.P00030127
scaffold_0003	195293	195293	+	1	14	1	1	0	2	1	PDEC.223.1.P00030130
scaffold_0003	209173	209173	+	1	11	1	1	0	2	1	PDEC.223.1.P00030138
scaffold_0003	283776	283816	+	9	2766	0.94	41	-3.74	1.53	0.85	PDEC.223.1.P00030189
scaffold_0003	316291	316303	+	2	58	0.9	13	-4.76	1.52	0.52	PDEC.223.1.P00030212
scaffold_0003	316437	316437	+	1	13	1	1	0	2	1	NA
scaffold_0003	340633	340633	+	1	15	1	1	0	2	1	PDEC.223.1.P00030222
scaffold_0003	360701	360701	+	1	10	1	1	0	2	1	PDEC.223.1.P00030239
scaffold_0003	392161	392163	+	2	27	0.59	3	-0.19	1.02	0.02	PDEC.223.1.P00030259
scaffold_0003	415080	415147	+	13	2035	0.78	68	-17.98	0.71	0.65	PDEC.223.1.P00030271
scaffold_0003	415235	415267	+	3	22	0.36	33	5.09	0.43	0.01	PDEC.223.1.P00030271
scaffold_0003	422665	422665	+	1	16	1	1	0	2	1	PDEC.223.1.P00030274
scaffold_0003	426919	426926	+	2	17	0.71	8	-1.44	1.13	0.13	PDEC.223.1.P00030276
scaffold_0003	443889	443889	+	1	27	1	1	0	2	1	PDEC.223.1.P00030282
scaffold_0003	475567	475586	+	3	92	0.51	20	-1.95	0.75	0.21	PDEC.223.1.P00030289
scaffold_0003	475750	475750	+	1	7	1	1	0	2	1	NA
scaffold_0003	510549	510549	+	1	252	1	1	0	2	1	PDEC.223.1.P00030305
scaffold_0003	510729	510729	+	1	5	1	1	0	2	1	NA
scaffold_0003	536411	536422	+	3	77	0.74	12	3.19	0.94	0.33	PDEC.223.1.P00030313
scaffold_0003	17996	17996	-	1	127	1	1	0	2	1	PDEC.223.1.P00030010
scaffold_0003	37794	37794	-	1	7	1	1	0	2	1	PDEC.223.1.P00030025
scaffold_0003	60405	60405	-	1	8	1	1	0	2	1	NA
scaffold_0003	61154	61154	-	1	13	1	1	0	2	1	PDEC.223.1.P00030042
scaffold_0003	92011	92011	-	1	20	1	1	0	2	1	PDEC.223.1.P00030060
scaffold_0003	107607	107607	-	1	15	1	1	0	2	1	NA
scaffold_0003	107652	107652	-	1	28	1	1	0	2	1	NA
scaffold_0003	121003	121003	-	1	6	1	1	0	2	1	NA
scaffold_0003	121796	121796	-	1	5	1	1	0	2	1	PDEC.223.1.P00030083
scaffold_0003	130258	130258	-	1	5	1	1	0	2	1	NA
scaffold_0003	130401	130401	-	1	9	1	1	0	2	1	NA
scaffold_0003	130797	130801	-	2	96	0.95	5	-1.79	1.7	0.7	PDEC.223.1.P00030088
scaffold_0003	158245	158250	-	3	31	0.45	6	-0.34	0.53	0.07	PDEC.223.1.P00030108
scaffold_0003	219508	219508	-	1	6	1	1	0	2	1	NA
scaffold_0003	256765	256772	-	3	46	0.52	8	-1.2	0.53	0.07	PDEC.223.1.P00030169
scaffold_0003	277347	277351	-	3	114	0.52	5	1.04	0.56	0.09	PDEC.223.1.P00030183
scaffold_0003	280837	281021	-	18	362	0.2	185	-13.25	-1.55	0.15	NA
scaffold_0003	281062	281417	-	46	1940	0.36	356	73.98	-1.98	0.28	NA
scaffold_0003	281457	281477	-	4	195	0.77	21	6.15	0.91	0.46	NA
scaffold_0003	281528	281894	-	53	7291	0.51	367	160.2	-0.37	0.59	PDEC.223.1.P00030186
scaffold_0003	281939	281965	-	4	59	0.53	27	6.73	0.36	0.18	PDEC.223.1.P00030186
scaffold_0003	332359	332359	-	1	7	1	1	0	2	1	NA
scaffold_0003	332982	332990	-	3	57	0.75	9	2.53	0.95	0.34	PDEC.223.1.P00030216
scaffold_0003	368699	368721	-	3	51	0.73	23	-5.08	0.88	0.29	PDEC.223.1.P00030246
scaffold_0003	391602	391602	-	1	5	1	1	0	2	1	PDEC.223.1.P00030258
scaffold_0003	403052	403052	-	1	7	1	1	0	2	1	PDEC.223.1.P00030263
scaffold_0003	403093	403116	-	3	57	0.67	24	2.15	0.8	0.25	PDEC.223.1.P00030263
scaffold_0003	413673	413673	-	1	19	1	1	0	2	1	NA
scaffold_0003	413713	413713	-	1	5	1	1	0	2	1	NA
scaffold_0003	413970	413970	-	1	13	1	1	0	2	1	NA
scaffold_0003	441050	441050	-	1	5	1	1	0	2	1	PDEC.223.1.P00030279
scaffold_0003	484699	484699	-	1	5	1	1	0	2	1	PDEC.223.1.P00030298
scaffold_0003	531053	531053	-	1	5	1	1	0	2	1	NA
scaffold_0003	547983	547983	-	1	80	1	1	0	2	1	PDEC.223.1.P00030321
scaffold_0004	46267	46359	+	11	959	0.59	93	-26.17	0.19	0.48	PDEC.223.1.P00040024
scaffold_0004	46413	46413	+	1	6	1	1	0	2	1	PDEC.223.1.P00040024
scaffold_0004	46510	46510	+	1	5	1	1	0	2	1	NA
scaffold_0004	66781	66784	+	2	42	0.88	4	1.14	1.47	0.47	PDEC.223.1.P00040038
scaffold_0004	91818	91824	+	2	21	0.71	7	-1.29	1.14	0.14	PDEC.223.1.P00040053
scaffold_0004	91981	91981	+	1	21	1	1	0	2	1	NA
scaffold_0004	92038	92038	+	1	5	1	1	0	2	1	NA
scaffold_0004	92086	92086	+	1	20	1	1	0	2	1	NA
scaffold_0004	92149	92169	+	2	36	0.69	21	3.89	1.11	0.11	NA
scaffold_0004	92220	92220	+	1	6	1	1	0	2	1	NA
scaffold_0004	92435	92435	+	1	12	1	1	0	2	1	NA
scaffold_0004	140497	140497	+	1	5	1	1	0	2	1	PDEC.223.1.P00040075
scaffold_0004	159773	159773	+	1	19	1	1	0	2	1	PDEC.223.1.P00040087
scaffold_0004	168436	168436	+	1	8	1	1	0	2	1	PDEC.223.1.P00040092
scaffold_0004	231792	231792	+	1	12	1	1	0	2	1	PDEC.223.1.P00040135
scaffold_0004	238220	238227	+	4	135	0.39	8	-0.85	0.23	0.12	PDEC.223.1.P00040139
scaffold_0004	263196	263248	+	7	216	0.59	53	-17.96	0.03	0.3	PDEC.223.1.P00040156
scaffold_0004	265057	265057	+	1	5	1	1	0	2	1	NA
scaffold_0004	280186	280186	+	1	43	1	1	0	2	1	PDEC.223.1.P00040167
scaffold_0004	313546	313550	+	2	21	0.67	5	0.67	1.08	0.08	PDEC.223.1.P00040179
scaffold_0004	319121	319128	+	2	11	0.55	8	0.32	1.01	0.01	PDEC.223.1.P00040182
scaffold_0004	325436	325453	+	2	75	0.92	18	-7.14	1.6	0.6	PDEC.223.1.P00040184
scaffold_0004	325693	325693	+	1	30	1	1	0	2	1	NA
scaffold_0004	325766	325766	+	1	17	1	1	0	2	1	NA
scaffold_0004	325837	325837	+	1	7	1	1	0	2	1	NA
scaffold_0004	326050	326050	+	1	46	1	1	0	2	1	NA
scaffold_0004	326174	326185	+	3	40	0.62	12	-2.12	0.7	0.18	NA
scaffold_0004	329188	329188	+	1	19	1	1	0	2	1	PDEC.223.1.P00040189
scaffold_0004	329330	329330	+	1	6	1	1	0	2	1	PDEC.223.1.P00040189
scaffold_0004	349816	349816	+	1	191	1	1	0	2	1	PDEC.223.1.P00040202
scaffold_0004	361757	361757	+	1	6	1	1	0	2	1	PDEC.223.1.P00040210
scaffold_0004	428465	428472	+	2	12	0.5	8	0	1	0	PDEC.223.1.P00040251
scaffold_0004	446617	446617	+	1	6	1	1	0	2	1	NA
scaffold_0004	447836	447863	+	5	164	0.38	28	6.16	0.03	0.15	PDEC.223.1.P00040263
scaffold_0004	448009	448020	+	2	25	0.76	12	2.86	1.2	0.2	NA
scaffold_0004	448872	448872	+	1	17	1	1	0	2	1	PDEC.223.1.P00040265
scaffold_0004	450956	450956	+	1	10	1	1	0	2	1	PDEC.223.1.P00040267
scaffold_0004	474879	474879	+	1	12	1	1	0	2	1	PDEC.223.1.P00040282
scaffold_0004	475121	475121	+	1	13	1	1	0	2	1	NA
scaffold_0004	475266	475266	+	1	6	1	1	0	2	1	NA
scaffold_0004	479041	479041	+	1	6	1	1	0	2	1	PDEC.223.1.P00040285
scaffold_0004	521040	521040	+	1	15	1	1	0	2	1	PDEC.223.1.P00040298
scaffold_0004	521201	521201	+	1	6	1	1	0	2	1	PDEC.223.1.P00040298
scaffold_0004	526672	526675	+	2	119	0.55	4	0.14	1.01	0.01	PDEC.223.1.P00040302
scaffold_0004	527136	527136	+	1	5	1	1	0	2	1	NA
scaffold_0004	536080	536088	+	4	136	0.87	9	-3.51	1.23	0.61	PDEC.223.1.P00040309
scaffold_0004	536198	536198	+	1	5	1	1	0	2	1	PDEC.223.1.P00040309
scaffold_0004	536307	536311	+	3	53	0.47	5	-1.15	0.64	0.14	NA
scaffold_0004	536442	536476	+	4	61	0.51	35	5.98	0.25	0.13	NA
scaffold_0004	536539	536539	+	1	22	1	1	0	2	1	NA
scaffold_0004	536592	536770	+	13	230	0.28	179	20.31	-1.1	0.16	NA
scaffold_0004	536849	536849	+	1	19	1	1	0	2	1	NA
scaffold_0004	546494	546523	+	5	301	0.7	30	3.58	0.63	0.41	PDEC.223.1.P00040318
scaffold_0004	547289	547292	+	2	34	0.85	4	1.06	1.4	0.4	NA
scaffold_0004	547752	547752	+	1	14	1	1	0	2	1	NA
scaffold_0004	555850	555850	+	1	6	1	1	0	2	1	NA
scaffold_0004	556023	556023	+	1	19	1	1	0	2	1	NA
scaffold_0004	564440	564440	+	1	21	1	1	0	2	1	NA
scaffold_0004	47304	47304	-	1	5	1	1	0	2	1	NA
scaffold_0004	47562	47562	-	1	5	1	1	0	2	1	NA
scaffold_0004	48105	48105	-	1	15	1	1	0	2	1	PDEC.223.1.P00040025
scaffold_0004	82803	82803	-	1	6	1	1	0	2	1	PDEC.223.1.P00040045
scaffold_0004	85691	85696	-	2	27	0.81	6	-1.57	1.31	0.31	PDEC.223.1.P00040047
scaffold_0004	139249	139287	-	4	45	0.36	39	-1.31	0.11	0.06	PDEC.223.1.P00040073
scaffold_0004	143753	143753	-	1	7	1	1	0	2	1	PDEC.223.1.P00040076
scaffold_0004	179051	179051	-	1	5	1	1	0	2	1	NA
scaffold_0004	179228	179228	-	1	5	1	1	0	2	1	PDEC.223.1.P00040100
scaffold_0004	200802	200802	-	1	36	1	1	0	2	1	PDEC.223.1.P00040117
scaffold_0004	214133	214133	-	1	11	1	1	0	2	1	PDEC.223.1.P00040122
scaffold_0004	259979	259979	-	1	26	1	1	0	2	1	PDEC.223.1.P00040152
scaffold_0004	261961	261961	-	1	6	1	1	0	2	1	PDEC.223.1.P00040154
scaffold_0004	262019	262022	-	2	78	0.85	4	1.04	1.38	0.38	PDEC.223.1.P00040154
scaffold_0004	268655	268655	-	1	5	1	1	0	2	1	NA
scaffold_0004	270798	270809	-	3	39	0.44	12	0.06	0.45	0.02	NA
scaffold_0004	271319	271325	-	3	157	0.85	7	0.27	1.27	0.54	PDEC.223.1.P00040161
scaffold_0004	278023	278023	-	1	5	1	1	0	2	1	NA
scaffold_0004	293965	293965	-	1	11	1	1	0	2	1	NA
scaffold_0004	294180	294180	-	1	5	1	1	0	2	1	NA
scaffold_0004	294478	294494	-	2	23	0.7	17	3.13	1.11	0.11	NA
scaffold_0004	294610	294610	-	1	6	1	1	0	2	1	NA
scaffold_0004	294791	294791	-	1	16	1	1	0	2	1	PDEC.223.1.P00040168
scaffold_0004	371506	371524	-	5	716	0.94	19	4.9	1.55	0.81	PDEC.223.1.P00040219
scaffold_0004	442165	442165	-	1	26	1	1	0	2	1	PDEC.223.1.P00040257
scaffold_0004	442864	442864	-	1	6	1	1	0	2	1	PDEC.223.1.P00040258
scaffold_0004	470324	470324	-	1	6	1	1	0	2	1	PDEC.223.1.P00040279
scaffold_0004	503297	503297	-	1	25	1	1	0	2	1	NA
scaffold_0004	503409	503409	-	1	5	1	1	0	2	1	NA
