PDEC.223.1.P00010054	PJENN.M.1.P00330030,PJENN.M.1.P01930052	PNOV.TE.1.P01410040,PNOV.TE.1.P00360013	POCT.K8.1.P71800002769770160
PDEC.223.1.P01280024,PDEC.223.1.P00030169	PJENN.M.1.P00040158,PJENN.M.1.P00010286	PNOV.TE.1.P04720006,PNOV.TE.1.P05000007	POCT.K8.1.P71800002770080160,POCT.K8.1.P71800002770870157
PDEC.223.1.P01280048,PDEC.223.1.P00030183	PJENN.M.1.P00040134,PJENN.M.1.P00010306	PNOV.TE.1.P04720026,PNOV.TE.1.P05000019	POCT.K8.1.P71800002770080140,POCT.K8.1.P71800002770870135
PDEC.223.1.P01280087,PDEC.223.1.P00030216	PJENN.M.1.P00040097,PJENN.M.1.P00010343	PNOV.TE.1.P03150015,PNOV.TE.1.P02640016	POCT.K8.1.P71800002770080102,POCT.K8.1.P71800002770870113
PDEC.223.1.P01280107,PDEC.223.1.P00030246	PJENN.M.1.P00040072,PJENN.M.1.P00010365	PNOV.TE.1.P04990005,PNOV.TE.1.P04880009	POCT.K8.1.P71800002770080075,POCT.K8.1.P71800002770870087
NA,PDEC.223.1.P00030258	PJENN.M.1.P00040058,PJENN.M.1.P00010374	PNOV.TE.1.P04990015,PNOV.TE.1.P04880024	POCT.K8.1.P71800002770080065,POCT.K8.1.P71800002770870075
PDEC.223.1.P00030263	PJENN.M.1.P00010379	NA,PNOV.TE.1.P02130033	POCT.K8.1.P71800002770870070
PDEC.223.1.P00030263	PJENN.M.1.P00010379	NA,PNOV.TE.1.P02130033	POCT.K8.1.P71800002770870070
PDEC.223.1.P00030298	PJENN.M.1.P00040021	PNOV.TE.1.P01380013	POCT.K8.1.P71800002770870037
PDEC.223.1.P01590041,PDEC.223.1.P00030321	PJENN.M.1.P00040003,PJENN.M.1.P00010433	PNOV.TE.1.P06790002,PNOV.TE.1.P05340005	POCT.K8.1.P71800002770080018,POCT.K8.1.P71800002770870012
PDEC.223.1.P00870056,PDEC.223.1.P00040075	PJENN.M.1.P00590063,PJENN.M.1.P00280097	PNOV.TE.1.P00580045,PNOV.TE.1.P00120062	POCT.K8.1.P71800002770450248,POCT.K8.1.P71800002770420078
PDEC.223.1.P00040087	PJENN.M.1.P00280082	PNOV.TE.1.P00120073	POCT.K8.1.P71800002770420090
PDEC.223.1.P00870038,PDEC.223.1.P00040092	PJENN.M.1.P00590045,PJENN.M.1.P00280072	PNOV.TE.1.P00580028,PNOV.TE.1.P00120078	POCT.K8.1.P71800002770450230,POCT.K8.1.P71800002770420095
PDEC.223.1.P00040179,PDEC.223.1.P00230045	NA,PJENN.M.1.P00090217	PNOV.TE.1.P01160013,PNOV.TE.1.P01600003	POCT.K8.1.P71800002770420177,POCT.K8.1.P71800002769660162
PDEC.223.1.P00040182,PDEC.223.1.P00230048	PJENN.M.1.P02530063,PJENN.M.1.P00090220	PNOV.TE.1.P01160016,PNOV.TE.1.P01600004	POCT.K8.1.P71800002770420180,POCT.K8.1.P71800002769660165
PDEC.223.1.P00040184,PDEC.223.1.P00230055	PJENN.M.1.P02530058,PJENN.M.1.P00090224	PNOV.TE.1.P01160019,PNOV.TE.1.P01600010	POCT.K8.1.P71800002770420184,POCT.K8.1.P71800002769660171
PDEC.223.1.P00040189,PDEC.223.1.P00230057	PJENN.M.1.P02530054,PJENN.M.1.P00090227	PNOV.TE.1.P01160022,PNOV.TE.1.P01600012	POCT.K8.1.P71800002770420188,POCT.K8.1.P71800002769660175
PDEC.223.1.P00040189,PDEC.223.1.P00230057	PJENN.M.1.P02530054,PJENN.M.1.P00090227	PNOV.TE.1.P01160022,PNOV.TE.1.P01600012	POCT.K8.1.P71800002770420188,POCT.K8.1.P71800002769660175
PDEC.223.1.P00040202,PDEC.223.1.P00230065	PJENN.M.1.P00090238	PNOV.TE.1.P01160033,PNOV.TE.1.P01600019	POCT.K8.1.P71800002770420201,POCT.K8.1.P71800002769660182
PDEC.223.1.P00040251,PDEC.223.1.P00230113	PJENN.M.1.P03310018,PJENN.M.1.P03330019	PNOV.TE.1.P01570012,PNOV.TE.1.P02090011	POCT.K8.1.P71800002770420248,POCT.K8.1.P71800002769660233
PDEC.223.1.P00040263,PDEC.223.1.P00230123	PJENN.M.1.P03310006,PJENN.M.1.P03330006	PNOV.TE.1.P01570025,PNOV.TE.1.P02090020	POCT.K8.1.P71800002770420260,POCT.K8.1.P71800002769660243
PDEC.223.1.P00040265	PJENN.M.1.P03310004,PJENN.M.1.P03330004	PNOV.TE.1.P01570027	POCT.K8.1.P71800002770420262
PDEC.223.1.P00040267,PDEC.223.1.P00230126	PJENN.M.1.P03310002,PJENN.M.1.P03330002	PNOV.TE.1.P01570029,PNOV.TE.1.P02090023	POCT.K8.1.P71800002770420264,POCT.K8.1.P71800002769660247
PDEC.223.1.P00040282,PDEC.223.1.P00230139	PJENN.M.1.P02080062,PJENN.M.1.P01500078	PNOV.TE.1.P01570044,PNOV.TE.1.P02090035	POCT.K8.1.P71800002770420280,POCT.K8.1.P71800002769660260
PDEC.223.1.P00040285,PDEC.223.1.P00230142	PJENN.M.1.P02080059,PJENN.M.1.P01500073	PNOV.TE.1.P01570047,PNOV.TE.1.P02090038	POCT.K8.1.P71800002770420283,POCT.K8.1.P71800002769660264
PDEC.223.1.P00040298,PDEC.223.1.P00230162	PJENN.M.1.P01500057,PJENN.M.1.P02080043	PNOV.TE.1.P04660002,PNOV.TE.1.P02150045	POCT.K8.1.P71800002770420296,POCT.K8.1.P71800002769660280
PDEC.223.1.P00040298,PDEC.223.1.P00230162	PJENN.M.1.P01500057,PJENN.M.1.P02080043	PNOV.TE.1.P04660002,PNOV.TE.1.P02150045	POCT.K8.1.P71800002770420296,POCT.K8.1.P71800002769660280
PDEC.223.1.P00040302,PDEC.223.1.P00230168	PJENN.M.1.P01500053,PJENN.M.1.P02080039	PNOV.TE.1.P04660006,PNOV.TE.1.P02150041	POCT.K8.1.P71800002770420299,POCT.K8.1.P71800002769660285
PDEC.223.1.P00040309,PDEC.223.1.P00230175	PJENN.M.1.P01500044,PJENN.M.1.P02080031	PNOV.TE.1.P04660014,PNOV.TE.1.P02150032	POCT.K8.1.P71800002770420305,POCT.K8.1.P71800002769660292
PDEC.223.1.P00040309,PDEC.223.1.P00230175	PJENN.M.1.P01500044,PJENN.M.1.P02080031	PNOV.TE.1.P04660014,PNOV.TE.1.P02150032	POCT.K8.1.P71800002770420305,POCT.K8.1.P71800002769660292
PDEC.223.1.P00040318,PDEC.223.1.P00230183	PJENN.M.1.P02080019	PNOV.TE.1.P04660022,PNOV.TE.1.P02150024	POCT.K8.1.P71800002770420314,POCT.K8.1.P71800002769660300
PDEC.223.1.P00870086,PDEC.223.1.P00040025	PJENN.M.1.P00590112,PJENN.M.1.P00280144	PNOV.TE.1.P00580074,PNOV.TE.1.P00120014	POCT.K8.1.P71800002770450280,POCT.K8.1.P71800002770420038
PDEC.223.1.P00040047	PJENN.M.1.P00280118	PNOV.TE.1.P00120034	POCT.K8.1.P71800002770420055
PDEC.223.1.P00870059,PDEC.223.1.P00040073	PJENN.M.1.P00590065,PJENN.M.1.P00280099	PNOV.TE.1.P00580047,PNOV.TE.1.P00120060	POCT.K8.1.P71800002770450252,POCT.K8.1.P71800002770420076
PDEC.223.1.P00870054,PDEC.223.1.P00040076	PJENN.M.1.P00590061,PJENN.M.1.P00280095	PNOV.TE.1.P00580043,PNOV.TE.1.P00120063	POCT.K8.1.P71800002770450246,POCT.K8.1.P71800002770420079
PDEC.223.1.P00040100	PJENN.M.1.P00590038	PNOV.TE.1.P00120086	POCT.K8.1.P71800002770420103
PDEC.223.1.P00040122	PJENN.M.1.P00590013,PJENN.M.1.P00280043	PNOV.TE.1.P00120106	POCT.K8.1.P71800002770420125
PDEC.223.1.P00040257,PDEC.223.1.P00230115	PJENN.M.1.P03310014,PJENN.M.1.P03330014	PNOV.TE.1.P01570018,PNOV.TE.1.P02090013	POCT.K8.1.P71800002770420254,POCT.K8.1.P71800002769660235
PDEC.223.1.P00040258,PDEC.223.1.P00230116	PJENN.M.1.P03310013,PJENN.M.1.P03330013	PNOV.TE.1.P01570019	POCT.K8.1.P71800002770420255,POCT.K8.1.P71800002769660236
PDEC.223.1.P00040279	PJENN.M.1.P01500082	PNOV.TE.1.P01570040	POCT.K8.1.P71800002770420276
PDEC.223.1.P00930004,PDEC.223.1.P00050005	PJENN.M.1.P00380103,PJENN.M.1.P00530093	PNOV.TE.1.P09370005,PNOV.TE.1.P08730005	POCT.K8.1.P71800002770450071,POCT.K8.1.P71800002769730314
PDEC.223.1.P00930014,PDEC.223.1.P00050017	PJENN.M.1.P00380091,PJENN.M.1.P00530079	PNOV.TE.1.P00540005,PNOV.TE.1.P00040009	POCT.K8.1.P71800002770450081,POCT.K8.1.P71800002769730302
PDEC.223.1.P00930055,PDEC.223.1.P00050050	PJENN.M.1.P00380048,PJENN.M.1.P00530047	PNOV.TE.1.P00540040,PNOV.TE.1.P00040039	POCT.K8.1.P71800002770450115,POCT.K8.1.P71800002769730270
PDEC.223.1.P00930071,PDEC.223.1.P00050075	PJENN.M.1.P00380026,PJENN.M.1.P00530023	PNOV.TE.1.P00540051,PNOV.TE.1.P00040062	POCT.K8.1.P71800002770450130,POCT.K8.1.P71800002769730246
PDEC.223.1.P00050132	PJENN.M.1.P00090194	PNOV.TE.1.P00040120	POCT.K8.1.P71800002769730191
PDEC.223.1.P00050134,PDEC.223.1.P00230022	PJENN.M.1.P00180006,PJENN.M.1.P00090191	PNOV.TE.1.P00040122,PNOV.TE.1.P02880015	POCT.K8.1.P71800002769730189,POCT.K8.1.P71800002769660140
PDEC.223.1.P00050167	PJENN.M.1.P00090157	PNOV.TE.1.P00040153	POCT.K8.1.P71800002769730155
PDEC.223.1.P00050203,PDEC.223.1.P00020121	PJENN.M.1.P00180072,PJENN.M.1.P00090122	PNOV.TE.1.P00040187,PNOV.TE.1.P00020237	POCT.K8.1.P71800002769730122,POCT.K8.1.P71800002770480239
PDEC.223.1.P00050221,PDEC.223.1.P00020101	PJENN.M.1.P00180089,PJENN.M.1.P00090105	PNOV.TE.1.P00040201,PNOV.TE.1.P00020253	POCT.K8.1.P71800002769730107,POCT.K8.1.P71800002770480257
PDEC.223.1.P00050251,PDEC.223.1.P00020086	PJENN.M.1.P00180112,PJENN.M.1.P00090084	PNOV.TE.1.P00040223,PNOV.TE.1.P00020267	POCT.K8.1.P71800002769730086,POCT.K8.1.P71800002770480270
PDEC.223.1.P00050273,PDEC.223.1.P00020069	PJENN.M.1.P00180130,PJENN.M.1.P00090064	PNOV.TE.1.P05100005,PNOV.TE.1.P00020287	POCT.K8.1.P71800002769730064,POCT.K8.1.P71800002770480287
PDEC.223.1.P00050011	PJENN.M.1.P00530086	PNOV.TE.1.P00040002	POCT.K8.1.P71800002769730308
PDEC.223.1.P00930029,PDEC.223.1.P00050032	PJENN.M.1.P00380072,PJENN.M.1.P00530066	PNOV.TE.1.P00540019	POCT.K8.1.P71800002770450095,POCT.K8.1.P71800002769730287
PDEC.223.1.P00930052,PDEC.223.1.P00050047	PJENN.M.1.P00380052,PJENN.M.1.P00530049	PNOV.TE.1.P00540037,PNOV.TE.1.P00040036	POCT.K8.1.P71800002770450112,POCT.K8.1.P71800002769730273
PDEC.223.1.P00050067	PJENN.M.1.P00380032,PJENN.M.1.P00530029	PNOV.TE.1.P00040055	POCT.K8.1.P71800002769730253
PDEC.223.1.P00050114	PJENN.M.1.P03580014,PJENN.M.1.P03350014	PNOV.TE.1.P00040103	POCT.K8.1.P71800002769730209
PDEC.223.1.P00050138,PDEC.223.1.P00230016	PJENN.M.1.P00090188	PNOV.TE.1.P00040126,PNOV.TE.1.P02880021	POCT.K8.1.P71800002769730185,POCT.K8.1.P71800002769660134
PDEC.223.1.P00050143	PJENN.M.1.P00180015,PJENN.M.1.P00090184	PNOV.TE.1.P00040130	POCT.K8.1.P71800002769730179
PDEC.223.1.P00050158,PDEC.223.1.P00020157	PJENN.M.1.P00180026,PJENN.M.1.P00090166	PNOV.TE.1.P00040144,PNOV.TE.1.P00020199	POCT.K8.1.P71800002769730164,POCT.K8.1.P71800002770480206
PDEC.223.1.P00050200,PDEC.223.1.P00020124	PJENN.M.1.P00180069,PJENN.M.1.P00090126	PNOV.TE.1.P00040184,PNOV.TE.1.P00020232	POCT.K8.1.P71800002769730125,POCT.K8.1.P71800002770480236
PDEC.223.1.P00050268,PDEC.223.1.P00020074	PJENN.M.1.P00180125,PJENN.M.1.P00090068	PNOV.TE.1.P05100002,PNOV.TE.1.P00020282	POCT.K8.1.P71800002769730068,POCT.K8.1.P71800002770480282
PDEC.223.1.P00050279	PJENN.M.1.P00180137	PNOV.TE.1.P05100010	POCT.K8.1.P71800002769730059,POCT.K8.1.P71800002770480294
PDEC.223.1.P00050298	PJENN.M.1.P00090034	PNOV.TE.1.P01440041	POCT.K8.1.P71800002769730037
PDEC.223.1.P00050306,PDEC.223.1.P00020039	PJENN.M.1.P00180164,PJENN.M.1.P00090024	PNOV.TE.1.P01440033,PNOV.TE.1.P03170010	POCT.K8.1.P71800002769730029,POCT.K8.1.P71800002770480313
PDEC.223.1.P01510040,PDEC.223.1.P00060036	PJENN.M.1.P01200035,PJENN.M.1.P02720008	PNOV.TE.1.P03450008,PNOV.TE.1.P00730054	POCT.K8.1.P71800002769720466,POCT.K8.1.P71800002770610029
PDEC.223.1.P01510074,PDEC.223.1.P00060079	PJENN.M.1.P01200079,PJENN.M.1.P01990038	PNOV.TE.1.P03680026,PNOV.TE.1.P00730012	POCT.K8.1.P71800002769720431,POCT.K8.1.P71800002770610072
PDEC.223.1.P01510081,PDEC.223.1.P00060084	PJENN.M.1.P01990043,PJENN.M.1.P01200086	PNOV.TE.1.P03680033,PNOV.TE.1.P00730007	POCT.K8.1.P71800002769720424,POCT.K8.1.P71800002770610077
PDEC.223.1.P00060090	PJENN.M.1.P01200092	PNOV.TE.1.P03680039,PNOV.TE.1.P00730001	POCT.K8.1.P71800002770610083
PDEC.223.1.P00100261,PDEC.223.1.P00060117	PJENN.M.1.P03700010,PJENN.M.1.P02340005	PNOV.TE.1.P00740067,PNOV.TE.1.P00770058	POCT.K8.1.P71800002769720386,POCT.K8.1.P71800002770610111
PDEC.223.1.P00100222,PDEC.223.1.P00060155	PJENN.M.1.P01360104,PJENN.M.1.P02340044	PNOV.TE.1.P00740032,PNOV.TE.1.P00770025	POCT.K8.1.P71800002769720352,POCT.K8.1.P71800002770610150
PDEC.223.1.P00100129,PDEC.223.1.P00060251	PJENN.M.1.P02130077,PJENN.M.1.P01280071	PNOV.TE.1.P03540013,PNOV.TE.1.P03220013	POCT.K8.1.P71800002769720256,POCT.K8.1.P71800002770610243
PDEC.223.1.P00100110,PDEC.223.1.P00060268	PJENN.M.1.P02130054	PNOV.TE.1.P04870006,PNOV.TE.1.P04740005	POCT.K8.1.P71800002769720235,POCT.K8.1.P71800002770610260
PDEC.223.1.P00060279	PJENN.M.1.P02130044	PNOV.TE.1.P04740017	POCT.K8.1.P71800002770610271
PDEC.223.1.P00100078,PDEC.223.1.P00060300	PJENN.M.1.P02130020,NA	PNOV.TE.1.P04420008,PNOV.TE.1.P04010009	POCT.K8.1.P71800002769720204
PDEC.223.1.P00060070	PJENN.M.1.P01990031	PNOV.TE.1.P00730021	POCT.K8.1.P71800002770610063
PDEC.223.1.P01510083,PDEC.223.1.P00060086	PJENN.M.1.P01200088,PJENN.M.1.P01990045	PNOV.TE.1.P03680035,PNOV.TE.1.P00730005	POCT.K8.1.P71800002769720422,POCT.K8.1.P71800002770610079
